Team Counts for 2022 NHL Draft:
Montréal Canadiens: 6
New Jersey Devils: 2
Arizona Coyotes: 7
Seattle Kraken: 8
Philadelphia Flyers: 2
Columbus Blue Jackets: 4
Chicago Blackhawks: 8
Detroit Red Wings: 3
Buffalo Sabres: 5
Anaheim Ducks: 4
Winnipeg Jets: 5
Vancouver Canucks: 2
Nashville Predators: 3
Dallas Stars: 3
Minnesota Wild: 5
Washington Capitals: 4
Pittsburgh Penguins: 1
St. Louis Blues: 3
San Jose Sharks: 4
Tampa Bay Lightning: 2
Edmonton Oilers: 1
Toronto Maple Leafs: 2
Vegas Golden Knights: 2
Los Angeles Kings: 1
Boston Bruins: 1
Calgary Flames: 1
Carolina Hurricanes: 2
New York Rangers: 2
Ottawa Senators: 3
New York Islanders: 3
Florida Panthers: 1
